//DATASET,
//created,Sat, 06 Feb 2021 20:41:30 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
//Parameterized
#Frequency,Power
#(THz),(dBm)
192,2.3751
192.3,2.9553
193.2,2.2155
193.4,2.2851
193.7,2.8691
194,3.5383
194.2,3.6535
194.4,3.4041
194.6,2.9943
194.8,2.8447
195.3,6.0605
195.5,8.5922
195.6,9.8328

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6441
191.8095,192.0094,-57.8766
192.0094,192.2092,-57.2883
192.2092,192.4091,-56.9447
192.4091,192.6089,-56.8693
192.6089,192.8088,-57.0228
192.8088,193.0086,-57.295
193.0086,193.2084,-57.5251
193.2084,193.4083,-57.5551
193.4083,193.6081,-57.3041
193.6081,193.808,-56.828
193.808,194.0078,-56.3185
194.0078,194.2077,-56.0198
194.2077,194.4075,-56.0828
194.4075,194.6073,-56.4324
194.6073,194.8072,-56.7319
194.8072,195.007,-56.5031
195.007,195.2069,-55.3816
195.2069,195.4067,-53.327
195.4067,195.6066,-50.7638
195.6066,195.8064,-48.445
195.8064,196.0062,-47.1564
196.0062,196.2061,-47.3838



//TRACE,Optical Spectrum,Input 1 (Run 18) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.8864
192.7,3.0524
193.1,2.5053
194.9,3.3233
195.5,8.983

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.477
191.8095,192.0094,-57.6975
192.0094,192.2092,-57.0983
192.2092,192.4091,-56.7451
192.4091,192.6089,-56.6618
192.6089,192.8088,-56.8087
192.8088,193.0086,-57.0748
193.0086,193.2084,-57.2986
193.2084,193.4083,-57.3215
193.4083,193.6081,-57.0623
193.6081,193.808,-56.5772
193.808,194.0078,-56.059
194.0078,194.2077,-55.7527
194.2077,194.4075,-55.8091
194.4075,194.6073,-56.1517
194.6073,194.8072,-56.4411
194.8072,195.007,-56.196
195.007,195.2069,-55.051
195.2069,195.4067,-52.9663
195.4067,195.6066,-50.3711
195.6066,195.8064,-48.0255
195.8064,196.0062,-46.7221
196.0062,196.2061,-46.9512



//TRACE,Optical Spectrum,Input 1 (Run 19) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
193.1,1.0671
193.9,1.9619
194.5,1.688
195.1,2.2897
195.3,4.1166
195.5,6.4713
195.8,9.4167

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.5527
191.8095,192.0094,-58.8502
192.0094,192.2092,-58.3215
192.2092,192.4091,-58.0295
192.4091,192.6089,-57.9974
192.6089,192.8088,-58.1874
192.8088,193.0086,-58.4927
193.0086,193.2084,-58.757
193.2084,193.4083,-58.8258
193.4083,193.6081,-58.6194
193.6081,193.808,-58.1916
193.808,194.0078,-57.7293
194.0078,194.2077,-57.4721
194.2077,194.4075,-57.5711
194.4075,194.6073,-57.9591
194.6073,194.8072,-58.3142
194.8072,195.007,-58.1736
195.007,195.2069,-57.1797
195.2069,195.4067,-55.2875
195.4067,195.6066,-52.8969
195.6066,195.8064,-50.7234
195.8064,196.0062,-49.5147
196.0062,196.2061,-49.7332



//TRACE,Optical Spectrum,Input 1 (Run 20) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.8304
191.7,1.2324
191.8,1.6123
191.9,1.9597
192,2.2642
192.1,2.5165
192.2,2.7085
192.6,2.8234
192.8,2.5675
192.9,2.411
193,2.2632
193.1,2.1453
193.5,2.2803
193.8,2.9693
194,3.3793
194.2,3.4902
194.3,3.4039
194.5,3.0278
194.7,2.6801
194.8,2.6651
194.9,2.8346
195,3.2282
195.2,4.7544
195.3,5.8424
195.5,8.3543
195.6,9.5858
195.7,10.6602
195.8,11.4783

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.7459
191.8095,192.0094,-57.9856
192.0094,192.2092,-57.4041
192.2092,192.4091,-57.0662
192.4091,192.6089,-56.9957
192.6089,192.8088,-57.1533
192.8088,193.0086,-57.4292
193.0086,193.2084,-57.6631
193.2084,193.4083,-57.6975
193.4083,193.6081,-57.4514
193.6081,193.808,-56.9807
193.808,194.0078,-56.4765
194.0078,194.2077,-56.1825
194.2077,194.4075,-56.2495
194.4075,194.6073,-56.6034
194.6073,194.8072,-56.9091
194.8072,195.007,-56.6902
195.007,195.2069,-55.5831
195.2069,195.4067,-53.5467
195.4067,195.6066,-51.003
195.6066,195.8064,-48.7005
195.8064,196.0062,-47.4209
196.0062,196.2061,-47.6473



//TRACE,Optical Spectrum,Input 1 (Run 21) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.5,3.4747
193.1,2.7844
193.8,3.6909
194.6,3.6287
194.8,3.5071
194.9,3.7021
195,4.1268
195.5,9.4704

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.2688
