//DATASET,
//created,Sat, 06 Feb 2021 17:31:19 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
196.0062,196.2061,-47.2713



//TRACE,Optical Spectrum,Input 1 (Run 14) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.3409
191.9,2.5306
192.1,3.1235
193.3,2.8199
194.8,3.619
195.5,9.6187

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.2054
191.8095,192.0094,-57.4063
192.0094,192.2092,-56.7893
192.2092,192.4091,-56.4207
192.4091,192.6089,-56.3244
192.6089,192.8088,-56.4604
192.8088,193.0086,-56.7167
193.0086,193.2084,-56.9304
193.2084,193.4083,-56.9418
193.4083,193.6081,-56.6691
193.6081,193.808,-56.1696
193.808,194.0078,-55.6372
194.0078,194.2077,-55.3183
194.2077,194.4075,-55.3641
194.4075,194.6073,-55.6953
194.6073,194.8072,-55.9682
194.8072,195.007,-55.6968
195.007,195.2069,-54.5134
195.2069,195.4067,-52.3797
195.4067,195.6066,-49.7324
195.6066,195.8064,-47.343
195.8064,196.0062,-46.0156
196.0062,196.2061,-46.2474



//TRACE,Optical Spectrum,Input 1 (Run 15) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.985
191.8,2.3936
191.9,2.7686
192,3.0995
192.5,3.8296
192.8,3.5525
192.9,3.4093
193.5,3.3761
193.6,3.5957
193.7,3.8555
194.1,4.6963
194.6,4.1169
195,4.6708
195.1,5.3694
195.2,6.3234
195.3,7.4845
195.5,10.146

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.9802
191.8095,192.0094,-57.1649
192.0094,192.2092,-56.5332
192.2092,192.4091,-56.1517
192.4091,192.6089,-56.0447
192.6089,192.8088,-56.1717
192.8088,193.0086,-56.4199
193.0086,193.2084,-56.6252
193.2084,193.4083,-56.627
193.4083,193.6081,-56.3432
193.6081,193.808,-55.8316
193.808,194.0078,-55.2874
194.0078,194.2077,-54.9583
194.2077,194.4075,-54.9952
194.4075,194.6073,-55.317
194.6073,194.8072,-55.5763
194.8072,195.007,-55.2831
195.007,195.2069,-54.0678
195.2069,195.4067,-51.8933
195.4067,195.6066,-49.2028
195.6066,195.8064,-46.777
195.8064,196.0062,-45.4297
196.0062,196.2061,-45.6636



//TRACE,Optical Spectrum,Input 1 (Run 16) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.2258
191.9,1.9527
192,2.2569
192.1,2.5091
192.2,2.7008
192.3,2.8273
192.5,2.8803
192.6,2.8151
192.8,2.5589
192.9,2.4024
193,2.2545
193.5,2.2708
193.6,2.4697
193.7,2.7082
193.8,2.9593
193.9,3.19
194,3.3689
194.1,3.4717
194.2,3.4795
194.3,3.3931
194.4,3.226
194.5,3.0168
194.8,2.6534
194.9,2.8225
195,3.2157
195.2,4.7408
195.3,5.8281
195.4,7.0576
195.5,8.3387
195.6,9.5697
195.7,10.6435
195.8,11.4613

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.7526
191.8095,192.0094,-57.9928
192.0094,192.2092,-57.4117
192.2092,192.4091,-57.0742
192.4091,192.6089,-57.0039
192.6089,192.8088,-57.1619
192.8088,193.0086,-57.438
193.0086,193.2084,-57.6721
193.2084,193.4083,-57.7068
193.4083,193.6081,-57.4611
193.6081,193.808,-56.9907
193.808,194.0078,-56.4869
194.0078,194.2077,-56.1931
194.2077,194.4075,-56.2604
194.4075,194.6073,-56.6146
194.6073,194.8072,-56.9207
194.8072,195.007,-56.7024
195.007,195.2069,-55.5962
195.2069,195.4067,-53.5611
195.4067,195.6066,-51.0186
195.6066,195.8064,-48.7172
195.8064,196.0062,-47.4382
196.0062,196.2061,-47.6645



//TRACE,Optical Spectrum,Input 1 (Run 17) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0514
191.7,1.4623
191.8,1.851
191.9,2.2068
192,2.5194
192.1,2.7793
192.2,2.9783
192.3,3.1115
192.4,3.1766
192.5,3.176
192.6,3.1157
192.7,3.0083
192.8,2.8684
192.9,2.716
193,2.5724
193.1,2.4588
193.2,2.3954
193.3,2.3965
193.4,2.471
193.5,2.6151
193.6,2.8204
193.7,3.0656
193.9,3.5603
194,3.745
194.1,3.8532
194.2,3.8659
194.3,3.784
194.4,3.6215
194.5,3.4173
194.6,3.2179
194.7,3.0832
194.8,3.0781
194.9,3.2601
195,3.669
195.1,4.3266
195.2,5.2338
195.3,6.3441
195.4,7.5973
195.5,8.9017
195.6,10.1541
195.7,11.2461
195.8,12.0776

