//DATASET,
//created,Sat, 20 Feb 2021 20:56:48 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.8095,192.0094,-57.7853
192.0094,192.2092,-57.1915
192.2092,192.4091,-56.8429
192.4091,192.6089,-56.7635
192.6089,192.8088,-56.9137
192.8088,193.0086,-57.1827
193.0086,193.2084,-57.4097
193.2084,193.4083,-57.4361
193.4083,193.6081,-57.1808
193.6081,193.808,-56.7001
193.808,194.0078,-56.1862
194.0078,194.2077,-55.8836
194.2077,194.4075,-55.9433
194.4075,194.6073,-56.2893
194.6073,194.8072,-56.5836
194.8072,195.007,-56.3465
195.007,195.2069,-55.2131
195.2069,195.4067,-53.1432
195.4067,195.6066,-50.5636
195.6066,195.8064,-48.2312
195.8064,196.0062,-46.9351
196.0062,196.2061,-47.1633

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0069
191.7,1.416
191.9,2.157
192,2.4679
192.4,3.1197
192.5,3.118
192.7,2.9485
192.8,2.8078
193,2.5101
193.1,2.3956
193.2,2.3313
193.4,2.4047
193.6,2.7517
193.9,3.4877
194.3,3.7074
194.5,3.3388
194.7,3.002
194.8,2.9949
195,3.5802
195.2,5.1372
195.3,6.243
195.4,7.4916
195.6,10.0396
195.8,11.9569



//TRACE,Optical Spectrum,Input 1 (Run 19) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.279
191.8095,192.0094,-57.4852
192.0094,192.2092,-56.8731
192.2092,192.4091,-56.5086
192.4091,192.6089,-56.4158
192.6089,192.8088,-56.5548
192.8088,193.0086,-56.8138
193.0086,193.2084,-57.0302
193.2084,193.4083,-57.0447
193.4083,193.6081,-56.7757
193.6081,193.808,-56.2801
193.808,194.0078,-55.7515
194.0078,194.2077,-55.4361
194.2077,194.4075,-55.4847
194.4075,194.6073,-55.819
194.6073,194.8072,-56.0964
194.8072,195.007,-55.8321
195.007,195.2069,-54.6591
195.2069,195.4067,-52.5387
195.4067,195.6066,-49.9056
195.6066,195.8064,-47.5281
195.8064,196.0062,-46.2072
196.0062,196.2061,-46.4382

//Parameterized
#Frequency,Power
#(THz),(dBm)
192.3,3.3864
192.4,3.4574
192.7,3.3036
192.8,3.1678
193.3,2.7181
193.4,2.7981
193.6,3.1598
194,4.1089
194.6,3.6114
194.7,3.4843
194.8,3.489
195.3,6.8432
195.6,10.7194



//TRACE,Optical Spectrum,Input 1 (Run 20) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.8285
191.8095,192.0094,-57.0022
192.0094,192.2092,-56.3605
192.2092,192.4091,-55.9703
192.4091,192.6089,-55.8561
192.6089,192.8088,-55.9771
192.8088,193.0086,-56.2198
193.0086,193.2084,-56.4195
193.2084,193.4083,-56.4148
193.4083,193.6081,-56.1236
193.6081,193.808,-55.6038
193.808,194.0078,-55.0517
194.0078,194.2077,-54.7156
194.2077,194.4075,-54.7465
194.4075,194.6073,-55.062
194.6073,194.8072,-55.3121
194.8072,195.007,-55.0041
195.007,195.2069,-53.7673
195.2069,195.4067,-51.5654
195.4067,195.6066,-48.8456
195.6066,195.8064,-46.3953
195.8064,196.0062,-45.0345
196.0062,196.2061,-45.2699

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.6974
191.7,2.1344
191.8,2.5486
191.9,2.9292
192,3.2653
192.1,3.5475
192.3,3.9192
192.4,4.0014
192.5,4.0164
192.7,3.8757
192.9,3.6075
193.1,3.375
193.2,3.3252
193.5,3.5936
193.6,3.8173
193.8,4.3576
193.9,4.6125
194,4.8139
194.2,4.9639
194.3,4.8949
194.4,4.7454
194.5,4.5558
194.6,4.3739
194.7,4.2616
194.8,4.2852
195.1,5.6675
195.3,7.8105
195.4,9.1312
195.5,10.5017



//TRACE,Optical Spectrum,Input 1 (Run 21) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5187
191.8095,192.0094,-57.7422
192.0094,192.2092,-57.1457
192.2092,192.4091,-56.7949
192.4091,192.6089,-56.7136
192.6089,192.8088,-56.8621
192.8088,193.0086,-57.1297
193.0086,193.2084,-57.3551
193.2084,193.4083,-57.3798
193.4083,193.6081,-57.1226
193.6081,193.808,-56.6398
193.808,194.0078,-56.1237
194.0078,194.2077,-55.8193
194.2077,194.4075,-55.8774
194.4075,194.6073,-56.2217
194.6073,194.8072,-56.5136
194.8072,195.007,-56.2726
195.007,195.2069,-55.1335
195.2069,195.4067,-53.0563
195.4067,195.6066,-50.4691
195.6066,195.8064,-48.1302
195.8064,196.0062,-46.8305
196.0062,196.2061,-47.0591

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0449
191.7,1.4555
191.8,1.8439
191.9,2.1995
192,2.5118
192.1,2.7715
192.2,2.9703
192.3,3.1033
192.4,3.1682
192.5,3.1675
192.7,2.9995
193,2.5632
193.1,2.4495
193.2,2.3859
